domain,problem,problem_size,compiled,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks,correct_goal
Miconic,prob1,3,false,GoalCount,1,4,0.0687323,775607,5,4,1,true
Miconic,prob1,3,false,GoalCount,2,4,0.0010432,715744,5,4,1,true
Miconic,prob1,3,false,GoalCount,3,4,0.0012207,715744,5,4,1,true
Miconic,prob1,3,false,HAdd,1,4,0.0015778,922896,5,4,1,true
Miconic,prob1,3,false,HAdd,2,4,0.0015886,922896,5,4,1,true
Miconic,prob1,3,false,HAdd,3,4,0.0016501,922896,5,4,1,true
Miconic,prob1,3,false,LM_Count,1,4,0.0011748,771680,5,4,1,true
Miconic,prob1,3,false,LM_Count,2,4,0.0012064,788256,5,4,1,true
Miconic,prob1,3,false,LM_Count,3,4,0.0011941,788256,5,4,1,true
Miconic,prob1,3,false,LM_Local-HAdd,1,4,0.0018319,954992,5,0,1,true
Miconic,prob1,3,false,LM_Local-HAdd,2,4,0.0019033,959216,5,0,1,true
Miconic,prob1,3,false,LM_Local-HAdd,3,4,0.0018271,959216,5,0,1,true
Miconic,prob1,3,false,LM_Local_Smart-HAdd,1,4,0.0018804,958464,5,0,1,true
Miconic,prob1,3,false,LM_Local_Smart-HAdd,2,4,0.0019775,958464,5,0,1,true
Miconic,prob1,3,false,LM_Local_Smart-HAdd,3,4,0.0018194,958464,5,0,1,true
Miconic,prob1,3,true,GoalCount,1,4,0.7279247,48082147,5,4,1,true
Miconic,prob1,3,true,GoalCount,2,4,0.0001553,22416,5,4,1,true
Miconic,prob1,3,true,GoalCount,3,4,0.0001855,22416,5,4,1,true
Miconic,prob1,3,true,GoalCount,4,4,0.000138,22416,5,4,1,true
Miconic,prob1,3,true,HAdd,1,4,0.4406679,30839680,5,4,1,true
Miconic,prob1,3,true,HAdd,2,4,0.0008089,228352,5,4,1,true
Miconic,prob1,3,true,HAdd,3,4,0.0008227,228352,5,4,1,true
Miconic,prob1,3,true,HAdd,4,4,0.0007881,228352,5,4,1,true
Miconic,prob1,3,true,LM_Count,1,4,0.215554,8415876,5,4,1,true
Miconic,prob1,3,true,LM_Count,2,4,0.0002133,26320,5,4,1,true
Miconic,prob1,3,true,LM_Count,3,4,0.0001567,26320,5,4,1,true
Miconic,prob1,3,true,LM_Count,4,4,0.0002213,26320,5,4,1,true
Miconic,prob1,3,true,LM_Local-HAdd,1,4,0.1858756,21440923,5,0,1,true
Miconic,prob1,3,true,LM_Local-HAdd,2,4,0.0009167,257040,5,0,1,true
Miconic,prob1,3,true,LM_Local-HAdd,3,4,0.0009459,257040,5,0,1,true
Miconic,prob1,3,true,LM_Local-HAdd,4,4,0.0009875,257040,5,0,1,true
Miconic,prob1,3,true,LM_Local_Smart-HAdd,1,4,0.1796381,7724632,5,0,1,true
Miconic,prob1,3,true,LM_Local_Smart-HAdd,2,4,0.0009714,260384,5,0,1,true
Miconic,prob1,3,true,LM_Local_Smart-HAdd,3,4,0.0010612,260384,5,0,1,true
Miconic,prob1,3,true,LM_Local_Smart-HAdd,4,4,0.0010315,260384,5,0,1,true
Miconic,prob2,3,false,GoalCount,1,3,0.0011753,715952,5,4,1,true
Miconic,prob2,3,false,GoalCount,2,3,0.0010557,715952,5,4,1,true
Miconic,prob2,3,false,GoalCount,3,3,0.0010639,715952,5,4,1,true
Miconic,prob2,3,false,HAdd,1,3,0.0018953,750912,5,3,1,true
Miconic,prob2,3,false,HAdd,2,3,0.0014423,750912,5,3,1,true
Miconic,prob2,3,false,HAdd,3,3,0.001501,750912,5,3,1,true
Miconic,prob2,3,false,LM_Count,1,3,0.0010549,771776,5,4,1,true
Miconic,prob2,3,false,LM_Count,2,3,0.0013559,785664,5,4,1,true
Miconic,prob2,3,false,LM_Count,3,3,0.001375,785664,5,4,1,true
Miconic,prob2,3,false,LM_Local-HAdd,1,3,0.0016462,783008,5,0,1,true
Miconic,prob2,3,false,LM_Local-HAdd,2,3,0.0017231,783008,5,0,1,true
Miconic,prob2,3,false,LM_Local-HAdd,3,3,0.0016713,787232,5,0,1,true
Miconic,prob2,3,false,LM_Local_Smart-HAdd,1,3,0.0015683,786480,5,0,1,true
Miconic,prob2,3,false,LM_Local_Smart-HAdd,2,3,0.0015858,786480,5,0,1,true
Miconic,prob2,3,false,LM_Local_Smart-HAdd,3,3,0.0016494,786480,5,0,1,true
Miconic,prob2,3,true,GoalCount,1,3,0.7054426,48075725,5,4,1,true
Miconic,prob2,3,true,GoalCount,2,3,0.0001636,22624,5,4,1,true
Miconic,prob2,3,true,GoalCount,3,3,0.0002705,22624,5,4,1,true
Miconic,prob2,3,true,GoalCount,4,3,0.0001688,22624,5,4,1,true
Miconic,prob2,3,true,HAdd,1,3,0.44691,30844912,5,3,1,true
Miconic,prob2,3,true,HAdd,2,3,0.0007989,224848,5,3,1,true
Miconic,prob2,3,true,HAdd,3,3,0.0008031,224848,5,3,1,true
Miconic,prob2,3,true,HAdd,4,3,0.0008442,224848,5,3,1,true
Miconic,prob2,3,true,LM_Count,1,3,0.2111519,8424788,5,4,1,true
Miconic,prob2,3,true,LM_Count,2,3,0.000224,26528,5,4,1,true
Miconic,prob2,3,true,LM_Count,3,3,0.0001702,26528,5,4,1,true
Miconic,prob2,3,true,LM_Count,4,3,0.0001528,26528,5,4,1,true
Miconic,prob2,3,true,LM_Local-HAdd,1,3,0.1834804,21450699,5,0,1,true
Miconic,prob2,3,true,LM_Local-HAdd,2,3,0.0009911,253536,5,0,1,true
Miconic,prob2,3,true,LM_Local-HAdd,3,3,0.0010036,253536,5,0,1,true
Miconic,prob2,3,true,LM_Local-HAdd,4,3,0.0010081,257760,5,0,1,true
Miconic,prob2,3,true,LM_Local_Smart-HAdd,1,3,0.1788531,7727080,5,0,1,true
Miconic,prob2,3,true,LM_Local_Smart-HAdd,2,3,0.0015328,256880,5,0,1,true
Miconic,prob2,3,true,LM_Local_Smart-HAdd,3,3,0.0009542,256880,5,0,1,true
Miconic,prob2,3,true,LM_Local_Smart-HAdd,4,3,0.0009419,256880,5,0,1,true
Miconic,prob3,3,false,GoalCount,1,4,0.0012512,715744,5,4,1,true
Miconic,prob3,3,false,GoalCount,2,4,0.001065,715744,5,4,1,true
Miconic,prob3,3,false,GoalCount,3,4,0.0011814,715744,5,4,1,true
Miconic,prob3,3,false,HAdd,1,4,0.0018833,922896,5,4,1,true
Miconic,prob3,3,false,HAdd,2,4,0.0015997,922896,5,4,1,true
Miconic,prob3,3,false,HAdd,3,4,0.0016429,922896,5,4,1,true
Miconic,prob3,3,false,LM_Count,1,4,0.0013266,771680,5,4,1,true
Miconic,prob3,3,false,LM_Count,2,4,0.0012597,788256,5,4,1,true
Miconic,prob3,3,false,LM_Count,3,4,0.0013322,788256,5,4,1,true
Miconic,prob3,3,false,LM_Local-HAdd,1,4,0.0017738,954992,5,0,1,true
Miconic,prob3,3,false,LM_Local-HAdd,2,4,0.0023748,954992,5,0,1,true
Miconic,prob3,3,false,LM_Local-HAdd,3,4,0.0017948,954992,5,0,1,true
Miconic,prob3,3,false,LM_Local_Smart-HAdd,1,4,0.0017624,958464,5,0,1,true
Miconic,prob3,3,false,LM_Local_Smart-HAdd,2,4,0.0018686,958464,5,0,1,true
Miconic,prob3,3,false,LM_Local_Smart-HAdd,3,4,0.0017841,958464,5,0,1,true
Miconic,prob3,3,true,GoalCount,1,4,0.7018003,48153341,5,4,1,true
Miconic,prob3,3,true,GoalCount,2,4,0.0001472,22416,5,4,1,true
Miconic,prob3,3,true,GoalCount,3,4,0.000168,22416,5,4,1,true
Miconic,prob3,3,true,GoalCount,4,4,0.0001468,22416,5,4,1,true
Miconic,prob3,3,true,HAdd,1,4,0.4402284,30846080,5,4,1,true
Miconic,prob3,3,true,HAdd,2,4,0.0007758,228352,5,4,1,true
Miconic,prob3,3,true,HAdd,3,4,0.0008314,228352,5,4,1,true
Miconic,prob3,3,true,HAdd,4,4,0.0007768,228352,5,4,1,true
Miconic,prob3,3,true,LM_Count,1,4,0.2124382,8414292,5,4,1,true
Miconic,prob3,3,true,LM_Count,2,4,0.0001858,26320,5,4,1,true
Miconic,prob3,3,true,LM_Count,3,4,0.000243,26320,5,4,1,true
Miconic,prob3,3,true,LM_Count,4,4,0.0001613,26320,5,4,1,true
Miconic,prob3,3,true,LM_Local-HAdd,1,4,0.1864215,21443175,5,0,1,true
Miconic,prob3,3,true,LM_Local-HAdd,2,4,0.0009572,261264,5,0,1,true
Miconic,prob3,3,true,LM_Local-HAdd,3,4,0.0009718,257040,5,0,1,true
Miconic,prob3,3,true,LM_Local-HAdd,4,4,0.0010703,257040,5,0,1,true
Miconic,prob3,3,true,LM_Local_Smart-HAdd,1,4,0.1777218,7724632,5,0,1,true
Miconic,prob3,3,true,LM_Local_Smart-HAdd,2,4,0.001075,260384,5,0,1,true
Miconic,prob3,3,true,LM_Local_Smart-HAdd,3,4,0.0009788,260384,5,0,1,true
Miconic,prob3,3,true,LM_Local_Smart-HAdd,4,4,0.0009618,260384,5,0,1,true
Miconic,prob4,3,false,GoalCount,1,4,0.0011173,715744,5,4,1,true
Miconic,prob4,3,false,GoalCount,2,4,0.0010366,715744,5,4,1,true
Miconic,prob4,3,false,GoalCount,3,4,0.0012727,715744,5,4,1,true
Miconic,prob4,3,false,HAdd,1,4,0.0015042,922896,5,4,1,true
Miconic,prob4,3,false,HAdd,2,4,0.0018193,922896,5,4,1,true
Miconic,prob4,3,false,HAdd,3,4,0.0016582,922896,5,4,1,true
Miconic,prob4,3,false,LM_Count,1,4,0.0011261,771680,5,4,1,true
Miconic,prob4,3,false,LM_Count,2,4,0.0014959,788256,5,4,1,true
Miconic,prob4,3,false,LM_Count,3,4,0.0013123,788256,5,4,1,true
